"Nível";"Cód.";"Brasil e Município";"Grupo de idade";"Católica Apostólica Romana";"Evangélicas";"Espírita";"Umbanda e Candomblé";"Tradições indígenas";"Outras religiosidades";"Sem religião";"Não sabe";"Sem declaração"
"MU";"3527702";"Luiziânia (SP)";"Total";"2723";"1037";"3";"49";"-";"97";"151";"-";"-"
"MU";"3527801";"Lupércio (SP)";"Total";"2139";"988";"24";"8";"-";"53";"258";"-";"-"
"MU";"3527900";"Lutécia (SP)";"Total";"1582";"552";"19";"4";"-";"33";"132";"-";"10"
"MU";"3528007";"Macatuba (SP)";"Total";"8601";"4687";"63";"19";"-";"369";"982";"-";"30"
"MU";"3528106";"Macaubal (SP)";"Total";"5084";"1265";"78";"9";"-";"94";"186";"-";"-"
"MU";"3528205";"Macedônia (SP)";"Total";"2193";"1097";"62";"-";"-";"78";"130";"-";"-"
"MU";"3528304";"Magda (SP)";"Total";"1875";"794";"11";"-";"-";"60";"121";"-";"-"
"MU";"3528403";"Mairinque (SP)";"Total";"23172";"14004";"576";"516";"-";"2050";"3488";"9";"19"
"MU";"3528502";"Mairiporã (SP)";"Total";"41374";"22215";"1904";"1680";"23";"4960";"9407";"17";"197"
"MU";"3528601";"Manduri (SP)";"Total";"6152";"1980";"52";"21";"-";"132";"462";"-";"5"
"MU";"3528700";"Marabá Paulista (SP)";"Total";"2586";"1084";"36";"48";"-";"53";"359";"-";"-"
"MU";"3528809";"Maracaí (SP)";"Total";"7051";"3453";"25";"-";"-";"260";"296";"-";"62"
"MU";"3528858";"Marapoama (SP)";"Total";"1511";"1180";"42";"7";"-";"86";"69";"-";"10"
"MU";"3528908";"Mariápolis (SP)";"Total";"2266";"650";"7";"-";"-";"34";"166";"-";"-"
"MU";"3529005";"Marília (SP)";"Total";"111733";"65543";"6631";"1126";"71";"10465";"13586";"114";"187"
"MU";"3529104";"Marinópolis (SP)";"Total";"1115";"395";"117";"5";"-";"19";"46";"-";"-"
"MU";"3529203";"Martinópolis (SP)";"Total";"13889";"6350";"105";"44";"-";"661";"990";"-";"63"
"MU";"3529302";"Matão (SP)";"Total";"44864";"15785";"2052";"691";"-";"2590";"4542";"11";"70"
"MU";"3529401";"Mauá (SP)";"Total";"168485";"123000";"5810";"4122";"20";"25771";"39887";"11";"415"
"MU";"3529500";"Mendonça (SP)";"Total";"3543";"1391";"58";"24";"-";"172";"222";"-";"20"
"MU";"3529609";"Meridiano (SP)";"Total";"2564";"1049";"65";"-";"-";"39";"358";"-";"-"
"MU";"3529658";"Mesópolis (SP)";"Total";"1091";"453";"4";"4";"-";"10";"166";"-";"-"
"MU";"3529708";"Miguelópolis (SP)";"Total";"11610";"4038";"231";"62";"-";"495";"686";"-";"69"
"MU";"3529807";"Mineiros do Tietê (SP)";"Total";"6317";"2746";"157";"54";"-";"146";"493";"-";"10"
"MU";"3529906";"Miracatu (SP)";"Total";"6424";"7016";"92";"76";"90";"864";"1349";"7";"44"
"MU";"3530003";"Mira Estrela (SP)";"Total";"1847";"693";"79";"4";"-";"104";"58";"-";"-"
"MU";"3530102";"Mirandópolis (SP)";"Total";"14217";"7751";"325";"219";"-";"1558";"1385";"-";"63"
"MU";"3530201";"Mirante do Paranapanema (SP)";"Total";"9431";"3798";"41";"69";"-";"287";"435";"-";"4"
"MU";"3530300";"Mirassol (SP)";"Total";"33368";"13758";"2801";"933";"17";"2486";"2328";"-";"-"
"MU";"3530409";"Mirassolândia (SP)";"Total";"2441";"1383";"77";"30";"-";"17";"154";"-";"5"
"MU";"3530508";"Mococa (SP)";"Total";"42248";"13709";"933";"57";"-";"1388";"1926";"-";"11"
"MU";"3530607";"Mogi das Cruzes (SP)";"Total";"168480";"127136";"13238";"8777";"91";"32765";"43022";"92";"331"
"MU";"3530706";"Mogi Guaçu (SP)";"Total";"77352";"42878";"1747";"1018";"-";"5046";"7459";"10";"106"
