uf;municipio;lat;long;population;catolica-apostolica-romana;evangelicas;espirita;umbanda-e-candomble;tradicoes-indigenas;outras-religiosidades;sem-religiao;nao-sabe;sem-declaracao
PR;Jaguariaíva;-24.2530565;-49.712186302;29949;49.454;40.365;0.474;0.017;0.0;2.23;7.383;0.0;0.077
PR;Jandaia do Sul;-23.6011789161;-51.6433953622;18965;76.567;19.42;0.791;0.206;0.0;2.014;0.96;0.042;0.0
PR;Janiópolis;-24.1414499418;-52.78255178;5226;84.252;11.558;0.0;0.0;0.0;1.167;3.023;0.0;0.0
PR;Japira;-23.8074805268;-50.1385951194;4324;72.04;22.456;0.139;0.0;0.0;1.018;4.348;0.0;0.0
PR;Japurá;-23.4685877726;-52.5566276715;8188;80.899;14.46;0.269;0.0;0.0;0.476;3.896;0.0;0.0
PR;Jardim Alegre;-24.1811374456;-51.6943350084;10623;77.681;19.486;0.104;0.0;0.0;0.791;1.939;0.0;0.0
PR;Jardim Olinda;-22.5526316002;-52.0381409641;1178;69.44;26.316;0.0;0.17;0.17;0.679;3.226;0.0;0.0
PR;Jataizinho;-23.2572651215;-50.9740548451;10235;62.052;27.171;0.02;0.44;0.0;2.882;7.162;0.0;0.274
PR;Jesuítas;-24.3772489097;-53.38811488;9306;80.937;14.872;0.408;0.0;0.0;1.913;1.87;0.0;0.0
PR;Joaquim Távora;-23.5004885244;-49.9244568128;10276;75.302;19.463;0.088;0.029;0.0;1.596;3.523;0.0;0.0
PR;Jundiaí do Sul;-23.4379094511;-50.2493535652;2886;78.656;19.161;0.45;0.0;0.0;0.0;1.733;0.0;0.0
PR;Juranda;-24.4163906494;-52.8444864983;6769;76.791;19.811;0.0;0.0;0.0;0.827;2.571;0.0;0.0
PR;Jussara;-23.6163267088;-52.4730408047;5873;64.056;26.596;0.051;0.0;0.0;1.873;7.424;0.0;0.0
PR;Kaloré;-23.8234388794;-51.6651419267;4072;90.054;8.423;0.0;0.196;0.0;0.958;0.368;0.0;0.0
PR;Lapa;-25.765102485;-49.7185958084;39575;80.397;13.622;0.725;1.114;0.0;1.493;2.648;0.0;0.0
PR;Laranjal;-24.888301584;-52.4716661791;4741;83.695;14.385;0.759;0.19;0.0;0.253;0.548;0.0;0.169
PR;Laranjeiras do Sul;-25.4016815102;-52.4088474233;27679;79.439;14.242;0.069;0.101;0.289;2.356;3.439;0.0;0.065
PR;Leópolis;-23.0799224937;-50.7551249729;3316;80.006;15.561;0.513;0.0;0.0;1.357;2.563;0.0;0.0
PR;Lidianópolis;-24.1067664133;-51.6541506163;3481;75.639;20.253;0.891;0.086;0.0;1.953;1.178;0.0;0.0
PR;Lindoeste;-25.255985126;-53.5771259363;4445;76.535;20.63;0.0;0.067;0.0;0.967;1.8;0.0;0.0
PR;Loanda;-22.9302286219;-53.1344689598;20156;66.357;27.634;0.923;0.104;0.0;1.994;2.421;0.0;0.566
PR;Lobato;-23.0041580769;-51.9537492142;4071;67.87;25.448;0.221;0.0;0.0;1.916;4.544;0.0;0.0
PR;Londrina;-23.312156;-51.1627734239;492243;54.165;32.409;1.232;0.578;0.023;4.627;6.835;0.0;0.13
PR;Luiziana;-24.2800814127;-52.2819056183;5770;72.6;23.328;0.243;0.0;0.0;1.352;2.322;0.0;0.156
PR;Lunardelli;-24.0780463607;-51.7445483868;4350;74.207;21.586;0.0;0.0;0.0;0.805;3.402;0.0;0.0
