Ano,Região,Tipo de voto/Candidato,Votos
2026 - 2.ª volta,Alfândega da Fé,Voto nulo,38
2026 - 2.ª volta,Bragança,Voto nulo,277
2026 - 2.ª volta,Carrazeda de Ansiães,Voto nulo,63
2026 - 2.ª volta,Freixo de Espada à Cinta,Voto nulo,27
2026 - 2.ª volta,Macedo de Cavaleiros,Voto nulo,151
2026 - 2.ª volta,Miranda do Douro,Voto nulo,63
2026 - 2.ª volta,Mirandela,Voto nulo,183
2026 - 2.ª volta,Mogadouro,Voto nulo,125
2026 - 2.ª volta,Torre de Moncorvo,Voto nulo,77
2026 - 2.ª volta,Vila Flor,Voto nulo,64
2026 - 2.ª volta,Vimioso,Voto nulo,36
2026 - 2.ª volta,Vinhais,Voto nulo,60
2026 - 2.ª volta,Belmonte,Voto nulo,41
2026 - 2.ª volta,Castelo Branco,Voto nulo,515
2026 - 2.ª volta,Covilhã,Voto nulo,408
2026 - 2.ª volta,Fundão,Voto nulo,270
2026 - 2.ª volta,Idanha-a-Nova,Voto nulo,67
2026 - 2.ª volta,Oleiros,Voto nulo,67
2026 - 2.ª volta,Penamacor,Voto nulo,27
2026 - 2.ª volta,Proença-a-Nova,Voto nulo,73
2026 - 2.ª volta,Sertã,Voto nulo,167
2026 - 2.ª volta,Vila de Rei,Voto nulo,47
2026 - 2.ª volta,Vila Velha de Ródão,Voto nulo,23
2026 - 2.ª volta,Arganil,Voto nulo,103
2026 - 2.ª volta,Cantanhede,Voto nulo,314
2026 - 2.ª volta,Coimbra,Voto nulo,1045
2026 - 2.ª volta,Condeixa-a-Nova,Voto nulo,109
2026 - 2.ª volta,Figueira da Foz,Voto nulo,490
2026 - 2.ª volta,Góis,Voto nulo,48
2026 - 2.ª volta,Lousã,Voto nulo,137
2026 - 2.ª volta,Mira,Voto nulo,118
2026 - 2.ª volta,Miranda do Corvo,Voto nulo,90
2026 - 2.ª volta,Montemor-o-Velho,Voto nulo,177
2026 - 2.ª volta,Oliveira do Hospital,Voto nulo,194
2026 - 2.ª volta,Pampilhosa da Serra,Voto nulo,31
2026 - 2.ª volta,Penacova,Voto nulo,92
2026 - 2.ª volta,Penela,Voto nulo,34
2026 - 2.ª volta,Soure,Voto nulo,126
2026 - 2.ª volta,Tábua,Voto nulo,96
2026 - 2.ª volta,Vila Nova de Poiares,Voto nulo,76
2026 - 2.ª volta,Alandroal,Voto nulo,27
2026 - 2.ª volta,Arraiolos,Voto nulo,75
2026 - 2.ª volta,Borba,Voto nulo,41
2026 - 2.ª volta,Estremoz,Voto nulo,113
2026 - 2.ª volta,Évora,Voto nulo,530
2026 - 2.ª volta,Montemor-o-Novo,Voto nulo,117
2026 - 2.ª volta,Mora,Voto nulo,36
2026 - 2.ª volta,Mourão,Voto nulo,16
2026 - 2.ª volta,Portel,Voto nulo,55
